"Week","Completion","Movie","Owner","Bid","Factor","ReleaseDate","Distributor","Gross","Change","Thtrs.","Per.Thtr.","Total.Gross","TrueGross","EstTotal","Efficiency"
3,0.760320031,"Booksmart","jacob",15,1,"5/24/2019","Annapurna Pictures",1576738,-0.77,1134,1390,17814151,17814151,23429806.2311606,1561987.08207737
3,0.760320031,"BrightBurn","alex",12,1,"5/24/2019","Sony Pictures",570000,-0.93,1013,563,16396396,16396396,21565124.3311779,1797093.69426482
1,0.35,"Dark Phoenix","jacob",19,0.5,"6/7/2019","20th Century Fox",3.3e+07,NA,3721,8869,3.3e+07,16500000,47142857.1428571,2481203.0075188
1,0.35,"Dark Phoenix","john",17,0.5,"6/7/2019","20th Century Fox",3.3e+07,NA,3721,8869,3.3e+07,16500000,47142857.1428571,2773109.24369748
3,0.760320031,"Echo in the Canyon","brian",1,1,"5/24/2019","Greenwich",205337,0.75,43,4775,501081,501081,659039.588028426,659039.588028426
2,0.535327369,"Godzilla: King of th","brian",46,1,"5/31/2019","Warner Bros.",15465000,NA,4108,3765,78522097,78522097,146680520.270579,3188706.96240388
4,0.884453914,"John Wick: Chapter 3","curtis",21,1,"5/17/2019","Lionsgate",7400000,-0.7,2776,2666,138662998,138662998,156778093.018875,7465623.47708928
1,0.35,"Late Night","sam",7,1,"6/7/2019","Amazon Studios",249654,NA,4,62414,249654,249654,713297.142857143,101899.591836735
6,0.954279223,"Long Shot","alex",10,1,"5/3/2019","Lionsgate",107000,-0.93,147,728,30173456,30173456,31619106.0988865,3161910.60988865
2,0.535327369,"MA","curtis",12,1,"5/31/2019","Universal",7820000,NA,2816,2777,32768075,32768075,61211282.8477484,5100940.23731237
6,0.954279223,"Meeting Gorbachev","john",3,1,"5/3/2019","1091 Media",14492,-0.56,19,763,213646,213646,223882.061822905,74627.3539409684
5,0.938762488,"Pokémon: Detective P","john",32,0.5,"5/10/2019","Warner Bros.",3190000,-0.76,2161,1476,137611719,68805859.5,73294214.8621516,2290444.21444224
5,0.938762488,"Pokémon: Detective P","alex",30,0.5,"5/10/2019","Warner Bros.",3190000,-0.76,2161,1476,137611719,68805859.5,73294214.8621516,2443140.49540505
5,0.938762488,"Poms","jake",9,1,"5/10/2019","STX Entertainment",90000,-0.86,177,508,13487635,13487635,14367462.6675113,1596384.74083459
2,0.535327369,"Rocketman","jake",27,1,"5/31/2019","Paramount Pictures",1.4e+07,NA,3610,3878,50498756,50498756,94332475.648186,3493795.39437726
5,0.938762488,"The Biggest Little F","jake",1,1,"5/10/2019","Neon",355871,-0.32,285,1249,2462297,2462297,2622917.97070613,2622917.97070613
5,0.938762488,"The Hustle","jacob",10,1,"5/10/2019","MGM",449000,-0.87,416,1079,34462355,34462355,36710409.1189464,3671040.91189464
6,0.954279223,"The Intruder","sam",6,1,"5/3/2019","Sony Pictures",316000,-0.86,306,1033,34952180,34952180,36626785.072528,6104464.17875466
1,0.35,"The Last Black Man i","brian",1,1,"6/7/2019","A24",235272,NA,7,33610,235272,235272,672205.714285714,672205.714285714
1,0.35,"The Secret Life of P","brian",33,0.5,"6/7/2019","Universal",47110000,NA,4561,10329,47110000,23555000,67300000,2039393.93939394
1,0.35,"The Secret Life of P","trevor",32,0.5,"6/7/2019","Universal",47110000,NA,4561,10329,47110000,23555000,67300000,2103125
3,0.760320031,"The Spy Behind Home ","brian",1,1,"5/24/2019","The Ciesla Foundation",38080,1.83,19,2004,84061,84061,110560.022849115,110560.022849115
3,0.760320031,"The Tomorrow Man","brian",1,1,"5/22/2019","Bleecker Street",144437,6.9,211,685,219327,219327,288466.686470871,288466.686470871
5,0.938762488,"Tolkien","brian",3,1,"5/10/2019","Fox Searchlight",17000,-0.88,42,405,4524370,4524370,4819504.46234703,1606501.48744901
6,0.954279223,"UglyDolls","jacob",13,1,"5/3/2019","STX Entertainment",1e+05,-0.84,188,532,19824518,19824518,20774336.8211214,1598025.90931703
